param N := 5;
param NLINKS := 20; #N*(N-1);
param MSTART :=0;

param: LINKS : capacity_P =
		[1,2]		1    	
		[1,3] 		1		
		[1,4]		1		
		[1,5]		1		
		[2,1]		1    	
		[2,3] 		1		
		[2,4]		1		
		[2,5]		1
		[3,1]		1    	
		[3,2] 		1		
		[3,4]		1		
		[3,5]		1
		[4,1]		1    	
		[4,2] 		1		
		[4,3]		1		
		[4,5]		1
		[5,1]		1    	
		[5,2] 		1		
		[5,3]		1		
		[5,4]		1;
		
param gamma := 

		0	0
		1	1
		2	1
		3	1
		4	2
		5	2
		6	3
		7	3
		8	4
		9	4
		10	5
		11	5
		12	6
		13	6
		14	7
		15	7
		16	8
		17	8
		18	9
		19	9
		20	10;
